ce8c	_BCE8C
ce9e	_BCE9E
ceac	_LCEAC
cebf	_BCEBF
cec5	_BCEC5
ceda	_BCEDA
cee3	_BCEE3
cee6	_BCEE6
cee8	_LCEE8
cef7	_BCEF7
cf06	_LCF06
cf1e	_BCF1E
cf39	_BCF39
cf3a	_BCF3A
cf40	_BCF40
cf44	_BCF44
cf45	_BCF45
cf59	_BCF59
cf5d	_BCF5D
cf63	_LCF63
cf6b	_BCF6B
cf75	_BCF75
cf7a	_BCF7A
cf82	_BCF82
cf86	_BCF86
cf95	_BCF95
cfa6	_LCFA6
cfad	_LCFAD
cfb7	_VDU_OUT_CHAR
cfbf	_LCFBF
cfd0	_BCFD0
cfdc	_VDU_OUT_MODE7
cfde	__mode7_xlate_loop
cfe6	__mode7_out_char
cfe9	__mode7_xlate_char
cfee	_VDU_OUT_COL4
d017	_BD017
d018	_BD018
d01e	_VDU_OUT_COL16
d023	_BD023
d03e	_LD03E
d057	_BD057
d060	_LD060
d078	_BD078
d080	_BD080
d0a8	_BD0A8
d0ab	_BD0AB
d0ae	_BD0AE
d0b3	_LD0B3
d0c6	_BD0C6
d0d0	_BD0D0
d0d6	_BD0D6
d0d9	_LD0D9
d0dc	_LD0DC
d0de	_LD0DE
d0e3	_LD0E3
d0eb	_LD0EB
d0f0	_LD0F0
d0f3	_LD0F3
d103	_BD103
d104	_LD104
d10d	_LD10D
d10f	_LD10F
d128	_LD128
d146	_BD146
d148	_BD148
d149	_LD149
d14d	_LD14D
d150	_BD150
d16d	_BD16D
d170	_BD170
d176	_LD176
d186	_BD186
d194	_BD194
d1ad	_LD1AD
d1b8	_LD1B8
d1cb	_BD1CB
d1d5	_LD1D5
d1e3	_LD1E3
d1ed	_LD1ED
d207	_BD207
d214	_LD214
d21e	_BD21E
d235	_BD235
d237	_BD237
d263	_BD263
d26d	_BD26D
d273	_BD273
d27e	_BD27E
d290	_BD290
d2c0	_BD2C0
d2c5	_BD2C5
d2ca	_BD2CA
d2ce	_BD2CE
d2d7	_BD2D7
d2e2	_BD2E2
d2e3	_LD2E3
d2f3	_BD2F3
d2f9	_BD2F9
d306	_BD306
d316	_BD316
d339	_BD339
d348	_BD348
d363	_BD363
d37e	_LD37E
d386	_LD386
d38d	_BD38D
d395	_BD395
d39f	_BD39F
d3a0	_BD3A0
d3b7	_BD3B7
d3bf	_BD3BF
d3c2	_BD3C2
d3ce	_BD3CE
d3d0	_BD3D0
d3d3	_LD3D3
d3e8	_BD3E8
d3ed	_LD3ED
d3fc	_BD3FC
d3fd	_LD3FD
d408	_BD408
d40d	_LD40D
d411	_LD411
d418	_LD418
d42c	_LD42C
d437	_BD437
d453	_BD453
d459	_LD459
d467	_LD467
d47b	_BD47B
d47c	_LD47C
d480	_LD480
d482	_LD482
d486	_LD486
d488	_LD488
d48a	_LD48A
d48c	_VDU_VAR_COPY
d48e	__vdu_var_copy_next
d49b	_LD49B
d4a9	_BD4A9
d4aa	_LD4AA
d4b7	_BD4B7
d4b9	_BD4B9
d4bf	_LD4BF
d4d9	_BD4D9
d4f0	_BD4F0
d4f7	_BD4F7
d4fa	_BD4FA
d506	_LD506
d513	_BD513
d514	_BD514
d519	_BD519
d536	_BD536
d53d	_BD53D
d540	_BD540
d545	_LD545
